POINTID,MDE,ASPECTB,HARB,PMA,TMEDPROM,EVI
2976,2054,1.7913,20,888,18.18,0.458312
2977,2039,1.9715,17,888,18.18,0.334943
2978,2036,1.1016,19,889,18.14,0.266153
2979,2066,1.8448,18,890,18.06,0.39543
2980,2054,2,20,892,17.99,0.394532
2981,2045,1.7593,14,891,17.98,0.399087
2982,2059,0.3524,18,892,17.96,0.430463
2983,2102,0.3202,17,893,17.87,0.262015
2984,2118,1.9758,18,893,17.84,0.381311
2985,2097,1.8591,19,893,17.86,0.383501
2986,2089,1,19,890,17.9,0.435904
2987,2080,1.2822,20,890,17.93,0.436625
2988,2069,1.2922,25,890,17.94,0.520731
2989,2056,1.9899,18,890,17.95,0.397353
2990,2059,0.8534,18,890,17.99,0.338933
2991,2065,1.0499,20,890,18.03,0.39801
2992,2062,1.9087,15,888,18.07,0.408455
2993,2032,1.9864,20,887,18.13,0.460272
2994,2026,0.8679,14,887,18.16,0.443925
2995,2024,1.0454,21,886,18.18,0.408889
2996,2040,1.9062,17,886,18.15,0.421427
2997,2020,1.9966,21,886,18.14,0.473183
3003,1948,1.359,8,882,18.38,0.251743
3004,1973,1.9734,13,880,18.48,0.28512
3005,1902,1.9285,14,876,18.71,0.280872
3006,1847,1.9897,14,872,18.9,0.290061
3018,1715,1.9558,14,866,19.14,0.312028
3095,2031,0.264,18,891,18.16,0.311804
3096,2101,0.6259,20,892,18.04,0.313929
3097,2134,1.5774,21,895,17.87,0.393028
3098,2149,0.6915,20,896,17.78,0.400444
3099,2154,2,19,896,17.76,0.382741
3100,2132,1.9889,16,896,17.76,0.371508
3101,2105,1.605,19,894,17.84,0.411338
3102,2094,1.9487,21,893,17.98,0.426313
3103,2074,1.7457,17,891,18.05,0.389742
3104,2077,1.187,20,890,18.09,0.438665
3105,2055,1.9983,14,889,18.15,0.350951
3106,2030,0.5342,19,888,18.17,0.35719
3107,2076,1.1241,18,888,18.11,0.301559
3108,2101,1.8193,21,889,18.06,0.426505
3109,2090,1.9608,17,892,18.01,0.387494
3110,2092,1.2632,18,892,17.99,0.384664
3111,2079,1.9739,16,892,17.97,0.373579
3112,2089,1.4091,16,892,17.94,0.313167
3113,2082,1.982,18,893,17.92,0.37325
3114,2096,0.8896,18,893,17.9,0.384965
3115,2120,0.2489,15,894,17.84,0.248791
3116,2156,0.8517,16,894,17.79,0.402156
3117,2140,1.774,17,894,17.8,0.432312
3118,2096,1.9363,18,893,17.87,0.439219
3119,2094,1.901,20,892,17.89,0.482359
3120,2101,0.5612,16,892,17.87,0.407187
3121,2117,1.7855,13,892,17.85,0.345735
3122,2091,1.6043,20,891,17.87,0.374111
3123,2090,1.04,13,890,17.92,0.384953
3124,2084,1.8025,12,889,17.99,0.331309
3125,2042,1.6919,20,888,18.05,0.383433
3126,2044,1.9398,14,887,18.1,0.381829
3127,2034,0.4989,15,887,18.11,0.338558
3129,2028,1.9162,15,886,18.12,0.314208
3130,2018,1.5301,3,885,18.15,0.445421
3131,2003,0.269,15,884,18.18,0.287774
3132,1994,1.5449,14,885,18.2,0.331439
3133,1999,0.9836,18,885,18.2,0.341807
3134,2007,1.9997,15,884,18.24,0.375088
3135,1984,0.7574,19,882,18.3,0.275602
3136,1998,1.2808,17,881,18.37,0.276338
3138,1864,1.779,14,876,18.74,0.326856
3139,1821,1.9895,13,872,18.91,0.315256
3141,1740,1.8526,17,867,19.16,0.300523
3144,1719,1.2708,17,869,19.1,0.258316
3145,1769,1.5773,13,870,18.99,0.272023
3153,1611,1.4379,18,861,19.51,0.272423
3154,1638,1.59,15,862,19.41,0.282014
3221,2007,1.7727,17,892,18.24,0.397607
3228,2104,0.2813,16,893,18.01,0.2909
3229,2185,0.4316,16,895,17.82,0.341351
3230,2192,1.952,17,895,17.75,0.334935
3231,2173,1.988,20,897,17.73,0.361964
3232,2142,1.8516,21,897,17.74,0.461168
3233,2125,1.7348,24,896,17.83,0.602827
3234,2134,1.7208,14,895,17.86,0.305124
3235,2117,1.9391,13,894,17.92,0.296399
3236,2107,1.4568,18,893,17.95,0.397994
3237,2085,1.9324,17,892,17.99,0.313995
3238,2052,1.9962,17,890,18.02,0.329756
3239,2083,0.0282,17,892,17.98,0.306844
3240,2114,0.0809,13,894,17.84,0.290271
3241,2144,1.6892,21,894,17.84,0.435451
3243,2108,1.9585,19,894,17.89,0.399974
3244,2113,1.1961,15,894,17.88,0.259916
3245,2096,1.9539,19,894,17.86,0.367449
3246,2109,0.5626,20,893,17.86,0.369657
3247,2140,0.8707,18,894,17.81,0.318015
3248,2162,2,8,894,17.77,0.332086
3249,2131,1.4338,20,895,17.75,0.448698
3250,2115,1.6643,21,894,17.81,0.473811
3251,2128,1.0525,13,894,17.8,0.468656
3252,2124,1.0605,19,893,17.8,0.394142
3253,2131,1.9899,12,895,17.78,0.383409
3254,2128,1.4903,13,893,17.79,0.421628
3255,2129,1.9778,12,893,17.79,0.370133
3256,2088,1.7475,14,890,17.89,0.41564
3257,2081,1.1738,20,889,17.97,0.341093
3258,2064,1.9932,19,888,18.02,0.362896
3259,2074,1.9507,16,887,18.04,0.397254
3260,2053,1.4137,17,887,18.07,0.427847
3262,2025,1.4299,15,885,18.12,0.465366
3263,2024,1.0244,15,886,18.14,0.388717
3264,2037,1.6932,26,886,18.14,0.399699
3265,2049,1.5842,19,886,18.12,0.371522
3266,2044,1.8462,17,886,18.14,0.32609
3267,2000,0.9146,11,886,18.13,0.250696
3268,2032,1.7649,14,884,18.17,0.30397
3269,1985,1.9862,12,881,18.37,0.298468
3270,1915,1.9278,13,877,18.56,0.310119
3274,1756,1.9635,19,870,19.02,0.288417
3286,1690,0.4699,14,863,19.26,0.235469
3287,1708,1.9487,14,867,19.12,0.279569
3288,1752,1.2999,15,868,18.96,0.268093
3346,2004,1.7809,14,894,18.24,0.434479
3347,2009,0.7574,8,894,18.22,0.403436
3349,2012,1.9829,18,894,18.21,0.631555
3351,2001,0.3837,21,893,18.23,0.471202
3352,2017,1,20,893,18.22,0.355123
3353,2030,2,21,893,18.2,0.506149
3354,2028,1.995,21,892,18.19,0.426982
3359,2026,0.4048,15,892,18.16,0.282604
3360,2079,0.2137,17,893,18.02,0.255384
3361,2153,0.0834,20,896,17.83,0.345371
3362,2191,0.0061,19,896,17.74,0.379718
3363,2182,1.4856,16,899,17.69,0.336729
3364,2154,1.4594,15,898,17.69,0.406789
3365,2137,0.9412,26,897,17.73,0.686723
3366,2159,1.6,21,896,17.77,0.446588
3367,2154,1.837,23,895,17.82,0.615451
3368,2142,1.9889,19,895,17.82,0.400839
3369,2122,1.9307,19,895,17.86,0.397231
3370,2098,1.9982,19,893,17.95,0.363953
3371,2097,0.5342,22,894,17.93,0.340208
3372,2106,0.2191,20,894,17.81,0.392847
3373,2178,0.2623,18,896,17.71,0.308336
3374,2192,1.9324,20,897,17.63,0.44998
3375,2160,1.8703,14,895,17.72,0.349271
3376,2159,1.5855,27,894,17.81,0.504593
3377,2144,1.8742,21,894,17.8,0.414058
3378,2136,0.7659,25,894,17.83,0.367128
3379,2172,1.068,26,896,17.75,0.399002
3380,2179,1.3161,18,896,17.7,0.388941
3381,2154,1.9553,17,896,17.67,0.380347
3382,2157,1.1279,19,896,17.66,0.441423
3383,2150,1.2874,16,896,17.67,0.410871
3384,2165,0.69,21,896,17.67,0.411074
3385,2163,1.9755,15,895,17.67,0.395208
3386,2155,1.8637,19,895,17.71,0.408134
3387,2122,1.7071,15,893,17.76,0.381442
3388,2133,0.6035,19,892,17.84,0.350856
3389,2126,1.7695,14,891,17.87,0.37402
3390,2087,0.9134,25,890,17.92,0.402481
3391,2103,1.9788,9,889,17.95,0.316949
3393,2048,1.1414,15,887,18.03,0.364145
3394,2024,1.9899,15,887,18.06,0.342584
3395,2038,0.3511,20,886,18.03,0.352027
3396,2093,0.744,17,888,17.97,0.314663
3397,2095,1.9829,16,889,17.97,0.311627
3398,2049,1.7366,19,887,18,0.317578
3399,2030,0.6193,18,887,18.02,0.292362
3400,2060,0.8896,17,887,18.05,0.303852
3401,2068,1.7452,20,886,18.1,0.322396
3402,2038,1.9841,20,881,18.3,0.283666
3404,1879,1.8632,11,873,18.75,0.288028
3418,1733,0.5596,17,867,19.09,0.267109
3419,1811,1.3954,13,867,18.92,0.245223
3421,1871,1.1843,17,870,18.77,0.284507
3478,2006,0.7574,18,895,18.22,0.387879
3481,2023,1.4741,20,894,18.18,0.547267
3482,2003,1.9959,11,894,18.2,0.437368
3483,2015,0.6343,23,893,18.21,0.477121
3484,2036,0.9524,23,894,18.18,0.508344
3485,2042,0.4187,19,894,18.16,0.405291
3486,2045,1.9912,23,893,18.16,0.480608
3487,2034,1.5301,21,892,18.17,0.522049
3488,2026,1.963,16,890,18.2,0.474384
3489,2009,1.8107,17,890,18.22,0.259334
3490,2003,1.4658,19,890,18.22,0.396822
3492,2072,0.5463,24,893,18.07,0.398169
3493,2116,0.0183,12,895,17.89,0.231817
3494,2161,0.0027,21,896,17.77,0.462723
3495,2174,1.3512,17,899,17.67,0.376294
3496,2162,1.9418,15,900,17.63,0.361175
3497,2156,0.763,21,899,17.64,0.453009
3498,2191,0.8534,20,899,17.65,0.468748
3499,2182,1.999,25,897,17.67,0.517567
3500,2169,1.9806,18,897,17.7,0.387469
3501,2145,1.9923,23,896,17.74,0.574604
3502,2137,1.5865,26,895,17.84,0.498535
3503,2135,1.6567,21,894,17.85,0.471273
3504,2152,1.383,23,895,17.75,0.44753
3505,2168,0.7877,21,898,17.6,0.352107
3506,2206,0.0111,15,900,17.47,0.360267
3507,2201,1.8492,28,899,17.54,0.490693
